class,algo,mean_gap,var_gap,mean_time,var_time,cnt
GreedyTrap,GA,0.0,0.0,0.2926934199873358,3.6146346778507124e-06,5
GreedyTrap,ImprovedGA,0.0,0.0,1.7235503199975937,0.00021594121250707174,5
GreedyTrap-ADV,GA,0.0,0.0,0.014214439981151373,1.631676941449363e-07,5
GreedyTrap-ADV,ImprovedGA,0.0,0.0,0.07226208000211046,2.113280965884305e-06,5
HeavyTailed,GA,0.2,0.20000000000000004,0.29272638000547885,1.3844876886654558e-05,5
HeavyTailed,ImprovedGA,0.0,0.0,1.735090439999476,0.0001355451927283575,5
InverseCorr,GA,0.0,0.0,0.29841072000563146,4.010112967435665e-05,5
InverseCorr,ImprovedGA,0.0,0.0,1.8584822799894027,0.013985049242757407,5
StronglyCorr,GA,0.0,0.0,0.30168560000602157,5.237481961735827e-05,5
StronglyCorr,ImprovedGA,0.0,0.0,1.8258090200135484,0.00539930558362104,5
Uncorrelated,GA,0.2,0.20000000000000004,0.14220418001059443,6.402935508641377e-06,5
Uncorrelated,ImprovedGA,0.0,0.0,0.7339969200082124,0.0003253840054096239,5
Uncorrelated-Large,GA,0.20488643314360583,0.04174966866196626,0.8735074800206348,0.0009054485979734524,5
Uncorrelated-Large,ImprovedGA,0.05550874495730869,6.293420742897262e-07,4.505779799981974,0.01882909586042827,5
WeaklyCorr,GA,0.0,0.0,0.29074872001074253,6.321171773049137e-06,5
WeaklyCorr,ImprovedGA,0.0,0.0,1.7238448400050401,0.0005021358119334005,5
