class,algo,energy_proxy_mean,energy_proxy_std,count
GreedyTrap,GA,0.2926934199873358,0.0019012192608562528,5
GreedyTrap,ImprovedGA,1.7235503199975937,0.014694938329474891,5
GreedyTrap-ADV,GA,0.0142144399811513,0.0004039402111017655,5
GreedyTrap-ADV,ImprovedGA,0.0722620800021104,0.001453712820980933,5
HeavyTailed,GA,0.2927263800054788,0.0037208704474430087,5
HeavyTailed,ImprovedGA,1.735090439999476,0.011642387758890335,5
InverseCorr,GA,0.29841072000563146,0.006332545276139496,5
InverseCorr,ImprovedGA,1.8584822799894027,0.11825840030525268,5
StronglyCorr,GA,0.30168560000602157,0.00723704495062441,5
StronglyCorr,ImprovedGA,1.8258090200135484,0.07347996722659206,5
Uncorrelated,GA,0.14220418001059437,0.00253040224245899,5
Uncorrelated,ImprovedGA,0.7339969200082124,0.018038403626973863,5
Uncorrelated-Large,GA,0.8735074800206348,0.03009067293985713,5
Uncorrelated-Large,ImprovedGA,4.505779799981974,0.13721915267348167,5
WeaklyCorr,GA,0.29074872001074253,0.002514194060340059,5
WeaklyCorr,ImprovedGA,1.7238448400050401,0.02240838708906557,5
