class,algo,mean_runtime_s,var_runtime,ci95_runtime,mean_gap,var_gap,ci95_gap,opt_ratio,count
GreedyTrap,GA,0.2926934199873358,3.6146346778508103e-06,0.0016664921589033459,0.0,0.0,0.0,1.0,5
GreedyTrap,ImprovedGA,1.7235503199975937,0.00021594121250707084,0.012880681363710254,0.0,0.0,0.0,1.0,5
GreedyTrap-ADV,GA,0.0142144399811513,1.6316769414493882e-07,0.00035406920618071176,0.0,0.0,0.0,1.0,5
GreedyTrap-ADV,ImprovedGA,0.0722620800021104,2.113280965884328e-06,0.0012742354694907242,0.0,0.0,0.0,1.0,5
HeavyTailed,GA,0.29272638000547885,1.3844876886654619e-05,0.0032614867483334157,0.2,0.20000000000000007,0.392,1.0,5
HeavyTailed,ImprovedGA,1.735090439999476,0.00013554519272835911,0.01020500281612175,0.0,0.0,0.0,1.0,5
InverseCorr,GA,0.29841072000563146,4.010112967435657e-05,0.005550720669552886,0.0,0.0,0.0,1.0,5
InverseCorr,ImprovedGA,1.8584822799894027,0.013985049242757371,0.10365805822122727,0.0,0.0,0.0,1.0,5
StronglyCorr,GA,0.30168560000602157,5.2374819617358274e-05,0.006343549590600573,0.0,0.0,0.0,1.0,5
StronglyCorr,ImprovedGA,1.8258090200135484,0.005399305583621032,0.06440803106762162,0.0,0.0,0.0,1.0,5
Uncorrelated,GA,0.14220418001059437,6.402935508641491e-06,0.0022179953584260336,0.2,0.20000000000000007,0.392,1.0,5
Uncorrelated,ImprovedGA,0.7339969200082124,0.00032538400540962377,0.015811357912472988,0.0,0.0,0.0,1.0,5
Uncorrelated-Large,GA,0.8735074800206348,0.0009054485979734496,0.026375637751435713,0.20488643314360583,0.04174966866196626,0.17910082475064684,0.0,5
Uncorrelated-Large,ImprovedGA,4.505779799981974,0.01882909586042828,0.12027789045158821,0.05550874495730864,6.293420742897225e-07,0.0006953676024364951,0.0,5
WeaklyCorr,GA,0.29074872001074253,6.321171773049184e-06,0.0022037882603982506,0.0,0.0,0.0,1.0,5
WeaklyCorr,ImprovedGA,1.7238448400050401,0.0005021358119334008,0.01964181730453347,0.0,0.0,0.0,1.0,5
