class,algo,mean_time,var_time,mean_nodes,var_nodes,mean_memory,cnt
GreedyTrap,bb_basic,0.0006967274992348393,6.787351991761986e-08,46.0,126.5822784810125,0.0033783912658691406,80
GreedyTrap,bb_enhanced,0.001814115001616301,4.014862284402369e-07,46.0,126.5822784810125,0.007188987731933594,80
ProbingBenefit,bb_basic,0.003968673748386209,4.037978403619634e-05,634.5375,1007935.2897151897,0.0025602340698242187,80
ProbingBenefit,bb_enhanced,0.01349364750112727,0.0006394190321308365,546.5125,929412.3542721518,0.05878381729125977,80
StronglyCorr,bb_basic,0.015893628749108758,0.000814299321362212,2542.2125,20589018.245411392,0.0019056320190429688,80
StronglyCorr,bb_enhanced,0.06309215249930275,0.013964848248688294,2549.2625,21099631.461867087,0.15714893341064454,80
SubsetSum,bb_basic,0.0007917900002212264,7.158473800630104e-07,156.2125,25234.97958860759,0.001641559600830078,80
SubsetSum,bb_enhanced,0.03976052750058443,0.000737585968485418,1259.8875,645579.3162974686,0.17854175567626954,80
Uncorrelated,bb_basic,0.00043308124968461926,5.6153519962565756e-08,66.425,1677.6145569620244,0.0018334388732910156,80
Uncorrelated,bb_enhanced,0.0013177850009014947,5.45618402422779e-07,58.7625,923.8795886075951,0.00626903772354126,80
WeaklyCorr,bb_basic,0.0012513475001469487,1.269778317707337e-06,225.225,35787.49303797468,0.0014958381652832031,80
WeaklyCorr,bb_enhanced,0.0031332512509834485,6.037783256122312e-06,156.575,13194.85506329114,0.01162499189376831,80
