实例类型,算法,平均运行时间(s),平均探索节点数,探索比例(%),精确率(%),时间改进(%),节点改进(%),样本数量
Uncorrelated,bb_basic,0.0004330812496845712,66.425,100.0,100.0,0.0,0.0,80
Uncorrelated,bb_enhanced,0.0013177850009014427,58.7625,100.0,100.0,-204.2812409591118,11.53556642830259,80
WeaklyCorr,bb_basic,0.0012513475001468912,225.225,100.0,100.0,0.0,0.0,80
WeaklyCorr,bb_enhanced,0.0031332512509834034,156.575,100.0,100.0,-150.39017943581635,30.480630480630484,80
StronglyCorr,bb_basic,0.01589362874910871,2542.2125,100.0,100.0,0.0,0.0,80
StronglyCorr,bb_enhanced,0.06309215249930271,2549.2625,100.0,100.0,-296.9650574783988,-0.2773174941119095,80
GreedyTrap,bb_basic,0.0006967274992347888,46.0,100.0,100.0,0.0,0.0,80
GreedyTrap,bb_enhanced,0.0018141150016162562,46.0,100.0,100.0,-160.3765465850977,0.0,80
SubsetSum,bb_basic,0.000791790000221175,156.2125,100.0,100.0,0.0,0.0,80
SubsetSum,bb_enhanced,0.03976052750058438,1259.8875,100.0,100.0,-4921.6001072857525,-706.5215651756421,80
ProbingBenefit,bb_basic,0.003968673748386162,634.5375,100.0,100.0,0.0,0.0,80
ProbingBenefit,bb_enhanced,0.013493647501127226,546.5125,100.0,100.0,-240.00394984884656,13.872308571203432,80
